Formula_dcg,Na,Cr,Se,Fe,P,O,Cu,Sb,W,V,C,Mn,Ni,H,S,Mo,Co,Si,As,Re,Ti,Nb,Te,F,Ge,B,N,Sc,Sn,Nd,Ag,Hf,Cl,Pr,Ta
NaCu(PO3)3,Na,,,,1012.0,1314.0,745.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaVPO5,Na,,,,1012.0,1314.0,,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,
Na3Ge3(MoO6)2,Na,,,,,1314.0,,,,,,,,,,685.0,,,,,,,,,762.2,,,,,,,,,,
Na5Mn2P2(CO7)2,Na,,,,1012.0,1314.0,,,,,1086.0,717.4,,,,,,,,,,,,,,,,,,,,,,,
NaCoPO4,Na,,,,1012.0,1314.0,,,,,,,,,,,758.0,,,,,,,,,,,,,,,,,,
Na2V(PO4)2,Na,,,,1012.0,1314.0,,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,
Na2Fe3(PO4)3,Na,,,759.4,1012.0,1314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na2NiO2,Na,,,,,1314.0,,,,,,,736.7,,,,,,,,,,,,,,,,,,,,,,
Na11(WO3)13,Na,,,,,1314.0,,,770.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Na4Ni5(P3O11)2,Na,,,,1012.0,1314.0,,,,,,,736.7,,,,,,,,,,,,,,,,,,,,,,
NaNiPO4,Na,,,,1012.0,1314.0,,,,,,,736.7,,,,,,,,,,,,,,,,,,,,,,
NaFe3P3O13,Na,,,759.4,1012.0,1314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na5Ti12O24,Na,,,,,1314.0,,,,,,,,,,,,,,,658.0,,,,,,,,,,,,,,
Na(FeO2)2,Na,,,759.4,,1314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na4(NiO2)5,Na,,,,,1314.0,,,,,,,736.7,,,,,,,,,,,,,,,,,,,,,,
NaCoO2,Na,,,,,1314.0,,,,,,,,,,,758.0,,,,,,,,,,,,,,,,,,
Na3Ni2O5,Na,,,,,1314.0,,,,,,,736.7,,,,,,,,,,,,,,,,,,,,,,
Na(CuO)2,Na,,,,,1314.0,745.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaCuO,Na,,,,,1314.0,745.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaNi2P3O10,Na,,,,1012.0,1314.0,,,,,,,736.7,,,,,,,,,,,,,,,,,,,,,,
Na3VBAsO7,Na,,,,,1314.0,,,,650.0,,,,,,,,,947.0,,,,,,,800.7,,,,,,,,,
NaMo2P3O13,Na,,,,1012.0,1314.0,,,,,,,,,,685.0,,,,,,,,,,,,,,,,,,,
Na(NiO2)2,Na,,,,,1314.0,,,,,,,736.7,,,,,,,,,,,,,,,,,,,,,,
Na3FeBPO7,Na,,,759.4,1012.0,1314.0,,,,,,,,,,,,,,,,,,,,800.7,,,,,,,,,
